start,end
0,4614
4614,5913
5913,15144
15144,16475
16475,25895
25895,27169
27169,36443
36443,37687
37687,47160
47160,48440
48440,57707
57707,58966
58966,68431
68431,69698
69698,78977
78977,80286
80286,89812
89812,91096
91096,100424
100424,101770
101770,111253
111253,112519
112519,121890
121890,123106
123106,132451
132451,133816
133816,143281
143281,144611
144611,154074
154074,155413
155413,164676
164676,165927
165927,175360
175360,176714
176714,185949
185949,187261
187261,196730
196730,198027
198027,207476
207476,208785
208785,218153
218153,219464
219464,228988
228988,230276
230276,239643
239643,240898
240898,250398
250398,251748
251748,261063
261063,262378
262378,271845
271845,273180
273180,282450
282450,283804
283804,293230
293230,294591
294591,303890
303890,305196
305196,314679
314679,59
